43,32
48,1
1,40
8,36
0,8
45,39
29,12
3,17
7,23
2,48
7,49
0,35
5,8
47,43
31,36
48,13
29,49
9,48
22,26
41,20
5,36
34,28
7,19
13,29
40,20
9,27
9,26
20,33
38,9
13,30
16,49
159,162
128,151
165,121
149,170
136,122
121,155
151,153
149,154
135,149
139,135
135,130
159,160
151,120
163,142
140,167
160,152
168,169
125,151
155,131
166,161
141,147
126,126
157,163
125,141
158,153
152,143
123,161
153,123
137,121
148,151
163,144
154,124
146,128
167,125
158,162
133,133
170,136
157,133
153,141
138,130
138,153
166,157
156,124
122,131
131,120
125,160
131,148
151,136
130,120
125,149
122,133
159,169
123,163
124,153
163,120
160,120
150,164
158,126
170,131
162,153
127,123
122,150
147,135
145,121
130,127
156,142
